what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1217564826484
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217564829437
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217564962468
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1217564975078
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1217564983328
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217564994812
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217565018500
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217565019968
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217565020593
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1217565082546
activated,view,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.ModuleHierarchyView,1217565118453
activated,editor,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.VhdlEditor,1217565147421
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.undo,1217565176359
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.undo,1217565176703
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.undo,1217565178859
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.lineEnd,1217565203812
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.lineEnd,1217565216265
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1217565244156
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1217565299640
activated,view,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.ModuleHierarchyView,1217565303890
activated,editor,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.VhdlEditor,1217565329375
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.copy,1217565332187
activated,view,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.ModuleHierarchyView,1217565335625
opened,editor,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.VhdlEditor,1217565339453
activated,editor,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.VhdlEditor,1217565339500
