what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.copy,1217581935203
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1217581937593
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.copy,1217581939875
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1217581943984
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217581951078
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217581959093
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.copy,1217581983875
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1217581984625
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1217581986703
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1217582010078
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217582051046
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217582051046
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217582052968
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217583611171
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217583611203
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217583612406
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217583617703
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217583617828
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217586785421
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217586788734
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217587870203
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.copy,1217587915281
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1217587918265
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1217587920750
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217588015421
