what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217581697265
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217581709921
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217581710562
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217581711812
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.copy,1217581738281
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.copy,1217581742781
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1217581745687
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1217581746796
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217581748218
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217581753843
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217581761437
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217581769640
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217581784343
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217581788046
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217581788531
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217581788531
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217581788640
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217581791625
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1217581855328
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1217581857765
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1217581858281
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1217581858796
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1217581859234
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1217581859750
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1217581860296
