what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.findReplace,1217588015421
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217588036812
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1217588047921
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217588049984
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217588050093
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1217588054171
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217588056234
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217588089531
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217588105343
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217588112703
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217588112703
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217588112812
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217588225890
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217588226562
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217588226562
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217588228171
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217588264000
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217591644234
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217591655625
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217591659703
started,bundle,org.eclipse.mylyn.resources.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.resources.ui,1217591659796
started,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1217591659796
started,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1217591659859
closed,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217591659953
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1217591660250
