what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217655158781
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217655159171
activated,view,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.ModuleHierarchyView,1217655161203
activated,editor,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.VhdlEditor,1217655165750
activated,view,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.ModuleHierarchyView,1217655174109
opened,editor,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.VhdlEditor,1217655174312
activated,editor,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.VhdlEditor,1217655174375
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1217655552250
activated,view,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.views.ResourceNavigator,1217655553203
opened,editor,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.VhdlEditor,1217655564078
activated,editor,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.VhdlEditor,1217655564140
activated,editor,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.VhdlEditor,1217655575375
closed,editor,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.VhdlEditor,1217655575375
activated,view,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.ModuleHierarchyView,1217655580921
opened,editor,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.VhdlEditor,1217655595015
activated,editor,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.VhdlEditor,1217655595062
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217655625156
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217656184078
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217656332984
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217656519453
activated,view,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.ModuleHierarchyView,1217656574531
activated,editor,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.VhdlEditor,1217656574734
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1217656633515
activated,view,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.views.ResourceNavigator,1217656641703
activated,view,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.ModuleHierarchyView,1217656652515
